Travel_Time_Code,County_Code,Mpo_Code
104+04369,36055,36197700
104-04370,36063,36197401
104-04371,36063,36197401
104+04371,36063,36197401
104-04372,36063,36197401
104+04372,36063,36197401
104-04373,36063,36197401
104+04373,36063,36197401
104-04374,36063,36197401
104+04374,36063,36197401
104-04375,36063,36197401
104+04375,36063,36197401
104-04376,36063,36197401
104+04376,36063,36197401
104-04377,36063,36197401
104+04377,36063,36197401
104-04378,36063,36197401
104+04378,36063,36197401
104+04379,36063,36197401
104-04381,36055,36197700
104+04381,36051,36197700
104-04382,36055,36197700
104+04382,36055,36197700
104-04383,36055,36197700
104+04383,36055,36197700
104+04384,36055,36197700
104-04385,36055,36197700
104+04385,36055,36197700
104-04386,36055,36197700
104+04386,36055,36197700
104-04387,36055,36197700
104+04387,36055,36197700
104-04388,36055,36197700
104+04388,36055,36197700
104-04389,36055,36197700
104+04389,36055,36197700
104-04390,36055,36197700
104+04390,36055,36197700
104-04391,36055,36197700
104+04391,36055,36197700
104-04392,36055,36197700
104+04392,36055,36197700
104-04393,36055,36197700
104+04393,36055,36197700
104-04394,36055,36197700
104+04394,36055,36197700
104+04395,36055,36197700
104-04446,36037,
104+04446,36029,
104-04447,36037,
104+04447,36037,
104-04448,36037,
104+04448,36037,
104-04449,36055,36197700
104-04450,36055,36197700
104+04450,36055,36197700
104-04451,36055,36197700
104+04451,36055,36197700
104-04452,36055,36197700
104+04452,36055,36197700
104-04453,36055,36197700
104+04453,36055,36197700
104+04454,36055,36197700
104-04455,36055,36197700
104-04456,36055,36197700
104+04456,36055,36197700
104-04457,36055,36197700
104+04457,36055,36197700
104-04458,36055,36197700
104+04458,36055,36197700
104-04459,36055,36197700
104+04459,36055,36197700
104-04460,36055,36197700
104+04460,36055,36197700
104+04461,36055,36197700
104-04462,36055,36197700
104+04462,36055,36197700
104-04463,36055,36197700
104+04463,36055,36197700
104-04464,36055,36197700
104+04464,36055,36197700
104-04465,36055,36197700
104+04465,36055,36197700
104-04466,36055,36197700
104+04466,36055,36197700
104-04467,36055,36197700
104+04467,36055,36197700
104-04468,36055,36197700
104+04468,36055,36197700
104-04469,36055,36197700
104+04469,36055,36197700
104-04470,36055,36197700
104+04470,36055,36197700
104-04471,36055,36197700
104+04471,36055,36197700
104-04472,36055,36197700
104+04472,36055,36197700
104-04473,36055,36197700
104+04473,36055,36197700
104-04474,36055,36197700
104+04474,36055,36197700
104-04475,36055,36197700
104+04475,36055,36197700
104-04476,36055,36197700
104-04477,36055,36197700
104+04477,36055,36197700
104-04478,36055,36197700
104+04478,36055,36197700
104-04479,36055,36197700
104+04479,36055,36197700
104-04480,36055,36197700
104+04480,36055,36197700
104-04481,36055,36197700
104+04482,36055,36197700
104-04483,36055,36197700
104+04483,36055,36197700
104-04484,36055,36197700
104+04484,36055,36197700
104-04485,36055,36197700
104+04485,36055,36197700
104-04486,36055,36197700
104+04486,36055,36197700
104-04487,36055,36197700
104+04487,36055,36197700
104-04488,36055,36197700
104+04488,36055,36197700
104+04489,36055,
104-04670,36013,
104+04679,36013,
104-04775,36069,36197700
104-04776,36069,36197700
104+04776,36069,36197700
104-04777,36037,
104+04777,36037,
104-04778,36037,
104+04778,36037,
104+04779,36037,
104-04788,36037,
104+04788,36037,
104-04789,36037,
104+04789,36037,
104-04790,36055,36197700
104+04790,36037,
104-04791,36055,36197700
104+04791,36055,36197700
104-04792,36069,36197700
104+04792,36055,36197700
104-04793,36069,36197700
104+04793,36069,36197700
104-04794,36069,36197700
104+04794,36069,36197700
104-04795,36069,36197700
104+04795,36069,36197700
104-04796,36069,
104+04796,36069,36197700
104-04797,36069,
104+04797,36069,
104-04798,36099,
104+04798,36069,
104-04964,36099,
104+04964,36069,
104-04965,36099,
104+04965,36099,
104-04966,36099,
104+04966,36099,
104-04967,36011,
104+04967,36099,
104-04968,36011,
104+04968,36011,
104-04969,36067,
104+04969,36011,
104-04970,36053,36196500
104+04970,36067,36196500
104-04971,36053,
104+04971,36053,36196500
104-04972,36053,
104+04972,36053,
104-04973,36065,36197200
104+04973,36053,
104-04974,36065,36197200
104+04974,36065,36197200
104-04975,36065,36197200
104+04975,36065,36197200
104-04976,36065,36197200
104+04976,36065,36197200
104+04977,36065,36197200
104-04978,36007,36197402
104-04979,36007,36197402
104+04979,36007,36197402
104-04980,36007,36197402
104+04980,36007,36197402
104-04981,36007,36197402
104+04981,36007,36197402
104-04982,36007,36197402
104+04982,36007,36197402
104-04983,36007,36197402
104+04983,36007,36197402
104-04984,36007,36197402
104+04984,36007,36197402
104-04985,36007,36197402
104+04985,36007,36197402
104-04986,36007,36197402
104+04986,36007,36197402
104-04987,36007,36197402
104+04987,36007,36197402
104-04988,36007,36197402
104+04988,36007,36197402
104-04989,36007,
104+04989,36007,36197402
104-04990,36007,
104+04990,36007,
104-04991,36007,
104+04991,36007,
104-04992,36023,
104+04992,36007,
104-04993,36023,
104+04993,36023,
104-04994,36023,
104+04994,36023,
104-04995,36023,
104+04995,36023,
104-04996,36023,
104+04996,36023,
104-04997,36023,
104+04997,36023,
104-04998,36067,
104+04998,36023,
104-04999,36075,36196500
104+04999,36067,36196500
104-05000,36075,
104+05000,36075,36196500
104-05001,36075,
104+05001,36075,
104-05002,36075,
104+05002,36075,
104-05003,36075,
104+05003,36075,
104-05004,36075,
104+05004,36075,
104-05005,36075,
104+05005,36075,
104-05006,36075,
104+05006,36075,
104-05007,36075,
104+05007,36075,
104-05008,36045,
104+05008,36075,
104-05009,36045,
104+05009,36045,
104-05010,36045,
104+05010,36045,
104-05011,36045,
104+05011,36045,
104-05012,36045,
104+05012,36045,
104-05013,36045,
104+05013,36045,
104-05014,36045,36201400
104+05014,36045,
104-05015,36045,36201400
104+05015,36045,36201400
104-05016,36045,36201400
104+05016,36045,36201400
104-05017,36045,36201400
104+05017,36045,36201400
104-05018,36045,36201400
104+05018,36045,36201400
104-05019,36045,
104+05019,36045,
104-05020,36045,
104+05020,36045,
104-05021,36045,
104+05021,36045,
104-05022,36045,
104+05022,36045,
104+05023,36045,
104-05024,36101,
104+05024,36015,
104-05025,36101,
104+05025,36101,
104-05026,36101,
104+05026,36101,
104-05027,36101,
104+05027,36101,
104-05028,36101,
104+05028,36101,
104-05029,36101,
104+05029,36101,
104-05030,36101,
104+05030,36101,
104-05031,36101,
104+05031,36101,
104-05032,36101,
104+05032,36101,
104-05033,36101,
104+05033,36101,
104-05034,36101,
104+05034,36101,
104-05035,36101,
104+05035,36101,
104-05036,36101,
104+05036,36101,
104-05037,36101,
104+05037,36101,
104-05038,36101,
104+05038,36101,
104-05039,36101,
104+05039,36101,
104-05040,36101,
104+05040,36101,
104-05041,36003,
104+05041,36101,
104-05042,36003,
104+05042,36003,
104-05043,36003,
104+05043,36003,
104-05044,36003,
104+05044,36003,
104-05045,36003,
104+05045,36003,
104-05046,36009,
104+05046,36003,
104-05047,36009,
104+05047,36009,
104-05048,36009,
104+05048,36009,
104-05049,36009,
104+05049,36009,
104-05050,36009,
104+05050,36009,
104-05051,36009,
104+05051,36009,
104-05052,36009,
104+05052,36009,
104-05053,36009,
104+05053,36009,
104-05054,36009,
104+05054,36009,
104-05055,36009,
104+05055,36009,
104-05056,36009,
104+05056,36009,
104-05057,36009,
104+05057,36009,
104-05058,36009,
104+05058,36009,
104-05059,36013,
104+05059,36009,
104-05060,36013,
104+05060,36013,
104-05061,36013,
104+05061,36013,
104-05062,36013,
104+05062,36013,
104-05063,36013,
104+05063,36013,
104-05064,36013,
104+05064,36013,
104-05065,36013,
104+05065,36013,
104-05066,36013,
104+05066,36013,
104-05067,36013,
104+05067,36013,
104-05068,36013,
104+05068,36013,
104-05069,36013,
104+05069,36013,
104-05070,36013,
104+05070,36013,
104+05071,36013,
104-05074,36015,
104-05075,36015,36197500
104+05075,36015,
104-05076,36015,36197500
104+05076,36015,36197500
104-05077,36107,
104-05078,36107,
104+05078,36107,
104-05079,36107,36197402
104+05079,36107,
104-05080,36107,36197402
104+05080,36107,36197402
104-05081,36107,36197402
104+05081,36107,36197402
104-05082,36107,36197402
104+05082,36107,36197402
104-05083,36007,36197402
104+05083,36107,36197402
104-05084,36007,36197402
104+05084,36007,36197402
104-05085,36007,36197402
104+05085,36007,36197402
104-05086,36007,36197402
104+05086,36007,36197402
104-05087,36007,36197402
104+05087,36007,36197402
104-05088,36007,36197402
104+05088,36007,36197402
104-05089,36007,36197402
104+05089,36007,36197402
104-05090,36007,36197402
104+05090,36007,36197402
104+05091,36007,36197402
104-05092,36007,
104-05093,36007,
104+05093,36007,
104-05094,36007,
104+05094,36007,
104-05095,36007,36197402
104+05095,36007,
104-05096,36007,36197402
104+05096,36007,36197402
104+05097,36007,36197402
104-05100,36007,36197402
104-05103,36101,
104+05103,36101,
104-05104,36101,
104+05104,36101,
104-05105,36101,
104+05105,36101,
104-05106,36101,
104+05106,36101,
