tmc,lottr_am_peak,lottr_midday,lottr_pm_peak,lottr_weekend
104-08334,1.2,1.17647,1.18812,1.20833
104+08334,1.07895,1.09483,1.10345,1.09821
104-08335,1.23009,1.23577,1.26829,1.27434
104+08335,1.18182,1.20192,1.21359,1.22449
104-08336,1.36585,1.35065,1.43882,1.51659
104+08336,1.2459,1.28358,1.34884,1.34454
104-08337,1.34066,1.39604,1.36364,1.45745
104+08337,1.26341,1.26147,1.35648,1.3561
104-08338,1.26549,1.39535,1.52381,1.7563
104+08338,1.31868,1.35644,1.35354,1.4382
104-08339,1.24294,1.27835,1.32642,1.37209
104+08339,1.26016,1.28358,1.36364,1.51587
104-08340,1.32051,1.4,1.45783,1.43478
104+08340,1.22995,1.24623,1.3057,1.36416
104-08341,1.28834,1.3587,1.45109,1.42138
104+08341,1.4023,1.40816,1.47778,1.63014
104-08342,1.11304,1.12174,1.13913,1.16364
104+08342,1.20139,1.22727,1.25166,1.35714
104-08343,1.125,1.11364,1.14444,1.14286
104+08343,1.09735,1.10526,1.12281,1.14545
104-08344,1.26923,1.25926,1.32143,1.38462
104+08344,1.26042,1.22917,1.28283,1.27273
104-08345,1.15584,1.15823,1.17722,1.2349
104+08345,1.26923,1.28,1.30769,1.26087
104-08346,1.22727,1.22973,1.2987,1.29851
104+08346,1.16667,1.22286,1.27368,1.34118
104-08347,1.20833,1.25,1.43443,1.35644
104+08347,1.18462,1.23944,1.26667,1.31884
104-08348,1.19608,1.2437,1.336,1.34579
104+08348,1.23469,1.25455,1.28571,1.36634
104-08349,1.21505,1.23232,1.28283,1.28049
104+08349,1.20388,1.23276,1.25,1.31731
104-08365,1.19553,1.27717,1.36559,1.56931
104-08366,1.30645,1.31159,1.36486,1.46512
104+08366,1.19681,1.25532,1.35079,1.59296
104-08367,1.24194,1.18254,1.22222,1.24138
104+08367,1.25203,1.2782,1.28571,1.32258
104-08368,1.27778,1.38462,1.45,1.42857
104+08368,1.2037,1.20183,1.24299,1.22772
104-08369,1.22222,1.23448,1.29054,1.27907
104+08369,1.34146,1.42857,1.41463,1.44737
104-08370,1.24138,1.21311,1.22222,1.26316
104+08370,1.15,1.168,1.17886,1.20175
104+08371,1.25424,1.22034,1.21311,1.27586
104-08372,1.18421,1.18421,1.17949,1.22222
104+08373,1.18605,1.19048,1.16279,1.21053
104-08374,1.26605,1.24348,1.29204,1.29167
104-08375,1.24908,1.2695,1.375,1.33333
104+08375,1.39062,1.31746,1.3252,1.31
104-08376,1.25362,1.24818,1.80588,1.29091
104+08376,1.35099,1.2439,1.31333,1.32653
104-08377,1.20126,1.1978,1.23889,1.29677
104+08377,1.29104,1.25581,1.41045,1.34862
104-08378,1.25581,1.20755,1.25,1.32584
104+08378,1.20219,1.19545,1.21429,1.29412
104-08379,1.27586,1.27679,1.29808,1.41667
104+08379,1.1875,1.22772,1.2551,1.29545
104-08380,1.30693,1.40714,1.39231,1.69421
104+08380,1.27381,1.38462,1.53237,1.53571
104-08381,1.30233,1.25,1.26316,1.34146
104+08381,1.23333,1.28696,1.36975,1.41414
104-08382,1.14103,1.14634,1.17284,1.17105
104+08382,1.25926,1.21348,1.24719,1.23377
104-08383,1.26316,1.2619,1.28571,1.35135
104+08383,1.16667,1.16667,1.21429,1.21053
104-08384,1.3069,1.27609,1.27946,1.35
104+08384,1.26316,1.31395,1.70192,1.31579
104-08385,1.12717,1.10526,1.14793,1.16564
104+08385,1.16961,1.22945,1.2947,1.28873
104-08386,1.14679,1.13393,1.18018,1.18269
104+08386,1.13793,1.13068,1.19892,1.18935
104-08387,1.22581,1.19196,1.24074,1.32124
104+08387,1.17241,1.19008,1.26613,1.24324
104-08388,1.24793,1.22378,1.24823,1.3719
104+08388,1.21591,1.23223,1.29717,1.30481
104-08389,1.41844,1.55556,1.40351,1.5461
104+08389,1.2381,1.22378,1.29197,1.29508
104-08390,1.36538,1.33333,1.32692,1.29167
104+08390,1.42,1.36875,1.3625,1.41844
104-08391,1.34921,1.31618,1.23239,1.26562
104+08391,1.35185,1.28571,1.30769,1.28
104-08392,1.16438,1.16883,1.17722,1.23288
104+08392,1.38971,1.33099,1.25,1.26515
104-08393,1.1028,1.12727,1.10909,1.12381
104+08393,1.125,1.13699,1.15278,1.15278
104-08394,1.2963,1.31034,1.4,1.37931
104+08394,1.16364,1.16364,1.12727,1.15888
104+08395,1.2963,1.28571,1.32143,1.25
104-08400,1.49606,1.49265,1.55303,1.45763
104-08401,1.38462,1.4026,1.42105,1.47059
104+08401,1.40936,1.4472,1.4586,1.44138
104-08402,1.41176,1.3125,1.36264,1.46512
104+08402,1.35632,1.32222,1.39785,1.42105
104-08403,1.24731,1.25281,1.22727,1.2515
104+08403,1.49,1.41667,1.46078,1.48235
104-08404,1.40404,1.37374,1.36082,1.36559
104+08404,1.27128,1.21827,1.22051,1.28249
104-08405,1.35294,1.34375,1.30303,1.40984
104+08405,1.43158,1.37374,1.30769,1.32584
104-08406,1.20833,1.23404,1.23404,1.27273
104+08406,1.32759,1.2623,1.2623,1.32759
104-08407,1.30769,1.26829,1.3625,1.35714
104+08407,1.23684,1.23684,1.27778,1.20588
104-08408,1.36364,1.33858,1.27907,1.36283
104+08408,1.33735,1.41573,1.46237,1.35065
104-08409,1.33516,1.4,1.36264,1.37647
104+08409,1.34821,1.33333,1.36364,1.41121
104-08410,1.3442,1.39871,1.44444,1.49071
104+08410,1.32979,1.35714,1.36923,1.34706
104-08411,1.28571,1.32374,1.375,1.44
104+08411,1.34982,1.37846,1.45507,1.54514
104-08412,1.26724,1.26724,1.29167,1.30275
104+08412,1.39189,1.40244,1.39333,1.42857
104-08413,1.24176,1.25263,1.25263,1.24138
104+08413,1.39167,1.44882,1.33846,1.33333
104-08414,1.43704,1.56173,1.66049,1.74483
104+08414,1.43103,1.40171,1.42857,1.47959
104-08415,1.14062,1.14062,1.15748,1.18333
104+08415,1.34667,1.33951,1.46199,1.37821
104-08416,1.16667,1.16667,1.16667,1.1625
104+08416,1.15328,1.15556,1.17293,1.19512
104-08417,1.20339,1.16393,1.2459,1.24576
104+08417,1.13147,1.14343,1.14343,1.14815
104-08418,1.32719,1.25346,1.29665,1.28856
104+08418,1.12712,1.16393,1.16949,1.16949
104-08419,1.19663,1.17318,1.3046,1.36196
104+08419,1.33333,1.35821,1.35323,1.40206
104-08420,1.2029,1.20301,1.24812,1.22137
104+08420,1.1697,1.20122,1.40123,1.56774
104-08421,1.26829,1.30952,1.36905,1.28395
104+08421,1.14729,1.1938,1.192,1.184
104-08422,1.58333,1.57595,1.60645,1.60248
104+08422,1.29268,1.35366,1.29268,1.29268
104+08423,1.75735,1.72028,1.66176,1.97351
104-08424,2,1.9,1.61307,1.83684
104-08425,1.42667,1.57353,1.7541,1.46835
104+08425,1.75377,1.79245,1.54211,1.76923
104-08426,1.57831,1.62025,1.57831,1.57831
104+08426,1.40845,1.83824,1.78333,1.72581
104-08427,1.48485,1.5,1.5,1.33636
104+08427,1.63218,1.51724,1.57778,1.61364
104+08428,1.70968,1.55882,1.55882,1.53623
104-08431,1.33333,1.34783,1.27273,1.3
104-08432,1.33333,1.34091,1.41053,1.40541
104+08432,1.42391,1.36458,1.43956,1.3
104-08433,1.5814,1.45238,1.73077,1.5
104+08433,1.58163,1.50505,1.69231,1.43421
104-08434,1.37838,1.42105,1.82979,1.34375
104+08434,1.46875,1.39394,1.48485,1.35714
104-08435,1.29565,1.29167,1.3252,1.27451
104+08435,1,1,1,1
104-08436,1.33803,1.37838,1.43243,1.39062
104+08436,1.23967,1.20492,1.34848,1.24545
104-08437,1.34722,1.3662,1.51282,1.34426
104+08437,1.44706,1.42169,1.52809,1.34783
104-08438,1.22989,1.22989,1.2809,1.2125
104+08438,1.26761,1.23188,1.26761,1.25806
104-08439,1.33945,1.31193,1.43089,1.25743
104+08439,1.25,1.23333,1.26374,1.23457
104-08440,1.30435,1.22581,1.27692,1.24138
104+08440,1.35849,1.29245,1.31897,1.33673
104-08441,1.10127,1.07643,1.11321,1.10811
104+08441,1.33333,1.24194,1.28358,1.25424
104+08442,1.13125,1.14465,1.29651,1.14189
104-08443,1.33548,1.28387,1.29412,1.25874
104-08444,1.26923,1.22368,1.25,1.23288
104+08444,1.21769,1.21678,1.24306,1.22388
104-08445,1.232,1.20155,1.2782,1.2069
104+08445,1.15493,1.18571,1.1831,1.14706
104-08446,1.2973,1.29508,1.68889,1.34409
104+08446,1.27407,1.29787,1.34752,1.27049
104-08447,1.42162,1.35676,1.41753,1.28966
104+08447,1.31429,1.3719,1.62937,1.40659
104-08448,1.44156,1.32,1.35616,1.25862
104+08448,1.25926,1.22941,1.38421,1.25352
104-08449,1.39344,1.35766,1.51034,1.40566
104+08449,1.33784,1.39241,1.85366,1.27419
104-08450,1.29286,1.22,1.30282,1.38462
104+08450,1.30534,1.31618,1.39695,1.38182
104-08451,1.40449,1.32653,1.34409,1.55814
104+08451,1.36842,1.35,1.375,1.44186
104-08452,1.36585,1.40146,1.46043,1.54918
104+08452,1.32632,1.34545,1.34483,1.42574
104-08453,1.27972,1.28571,1.31847,1.3913
104+08453,1.33636,1.40496,1.44275,1.47321
104-08454,1.33613,1.39062,1.4,1.44037
104+08454,1.26351,1.29487,1.33974,1.35211
104-08455,1.37963,1.4188,1.45614,1.43617
104+08455,1.40336,1.36641,1.45528,1.49524
104-08456,1.3,1.31795,1.42932,1.41104
104+08456,1.42574,1.38462,1.46939,1.54878
104-08457,1.07692,1.03846,1.07843,1.06
104+08457,1.27922,1.24224,1.28758,1.29787
104-08458,1.08333,1,1.18182,1.09091
104+08458,1.08772,1.08475,1.44262,1.11111
104+08459,1.04348,1.04348,1.08696,1.09091
104+08461,1.51724,1.77551,1.87356,1.51341
104-08463,,,1,
104+08463,,,1.48299,
104-08464,1.4527,1.50327,1.36943,1.37209
104+08465,1.62092,1.36735,1.42857,1.31008
104-08466,1.375,1.37313,1.36842,1.50794
104-08467,1.24419,1.275,1.36975,1.54255
104+08467,1.49573,1.70667,1.44882,1.52174
104-08468,1.22699,1.26344,1.37097,1.47799
104+08468,1.29808,1.24444,1.34848,1.50427
104-08469,1.14286,1.16754,1.27027,1.27879
104+08469,1.20625,1.23669,1.29878,1.40667
104-08470,1.21472,1.23529,1.27778,1.35294
104+08470,1.16489,1.18848,1.26344,1.30303
104+08471,1.2,1.2375,1.28205,1.3209
104-08476,1.31325,1.31765,1.32143,1.3625
104+08476,1.42202,1.52542,1.56881,1.59184
104-08477,1.21233,1.23718,1.25,1.26619
104+08477,1.22535,1.25676,1.25676,1.27941
104-08478,1.31356,1.36364,1.43066,1.38739
104+08478,1.25828,1.38596,1.35928,1.34459
104-08479,1.25191,1.27407,1.41176,1.36697
104+08479,1.35294,1.35385,1.448,1.45794
104-08480,1.28421,1.29,1.36842,1.34118
104+08480,1.37405,1.36842,1.46923,1.40566
104-08481,1.21333,1.22981,1.33333,1.36691
104+08481,1.29167,1.26531,1.29167,1.32558
104-08482,1.28235,1.26882,1.49505,1.39189
104+08482,1.42632,1.31319,1.36264,1.45752
104-08483,1.25301,1.23864,1.34831,1.35211
104+08483,1.32911,1.30864,1.34568,1.39062
104-08484,1.42857,1.41667,1.44118,1.43333
104+08484,1.21519,1.24051,1.30263,1.35385
104-08485,1.45395,1.43114,1.45181,1.58156
104+08485,1.38889,1.46296,1.59259,1.5814
104-08486,1.35948,1.32948,1.43646,1.47552
104+08486,1.33136,1.375,1.54412,1.59615
104-08487,1.45517,1.47651,1.77439,1.44355
104+08487,1.41667,1.36129,1.47647,1.41667
104-08488,1.36667,1.35333,1.3931,1.38346
104+08488,1.35075,1.31538,1.30469,1.33036
104-08489,1.43529,1.62366,1.72816,1.67123
104+08489,1.40828,1.44379,1.38889,1.43066
104-08490,1.55455,1.37719,1.86364,1.33333
104+08490,1.77174,1.75269,1.47191,1.49315
104-08498,1.24068,1.26733,1.34824,1.23466
104-08499,1.34123,1.2878,1.52995,1.30653
104+08499,1.29276,1.29276,1.35314,1.31183
104+08500,1.34123,1.35545,1.447,1.45498
104-08501,,,1,
104+08501,,,1,
104-08502,1.5,1.4,1.55556,1.46667
104+08502,,,1,
104+08503,1.84615,1.76667,2.14286,2.21739
104-08506,2.26316,2.04762,2.15,1.7619
104+08506,1.66516,1.535,2.00485,1.6068
104+08507,1.72973,2.03226,1.72973,1.72973
104-08508,1.33333,1.09091,1.18182,1.09091
104+08508,1.16667,1.21053,1.68182,1.2
104-08510,1.25,1.5,1.5,1.66667
104+08510,1.31818,1.34783,1.4,1.4
104+08511,1,2,2,2
104-09660,1.135,1.10732,1.12019,1.12676
104-09661,1.08036,1.0826,1.10526,1.09742
104+09661,1.09804,1.10837,1.13462,1.1256
104-09662,1.07353,1.07353,1.08696,1.1
104+09662,1.10448,1.10386,1.10526,1.12865
104-09663,1.06507,1.06803,1.07718,1.08361
104+09663,1.08955,1.07353,1.10294,1.07143
104-09664,1.07143,1.06061,1.08081,1.08081
104+09664,1.08874,1.08191,1.09459,1.09365
104-09665,1.12755,1.12121,1.12755,1.14141
104+09665,1.09,1.08081,1.07921,1.07921
104-09666,1.17143,1.16429,1.16071,1.21786
104+09666,1.22772,1.17327,1.18317,1.20874
104-09667,1.09302,1.06977,1.09091,1.11628
104+09667,1.24286,1.16071,1.16071,1.20495
104-09668,1.06884,1.06227,1.0942,1.07971
104+09668,1.09756,1.07317,1.09756,1.09756
104-09669,1.06557,1.05,1.08333,1.08333
104+09669,1.07807,1.07063,1.09665,1.07807
104-09670,1.06838,1.05172,1.07759,1.07759
104+09670,1.05357,1.05357,1.05357,1.05357
104-09671,1.13139,1.12593,1.13971,1.14815
104+09671,1.0531,1.04386,1.0614,1.0708
104+09672,1.09565,1.06838,1.10256,1.09565
104-09680,1.14286,1.14286,1.14286,1.14286
104+09681,1.07143,1.14286,1.14286,1.06667
104-09685,1.29412,1.3027,1.42286,1.41176
104+09686,1.30303,1.31351,1.39548,1.39264
104-09690,1.07182,1.06522,1.06593,1.06011
104-09691,1.1,1.08696,1.10127,1.10559
104+09691,1.0663,1.05435,1.07182,1.07182
104-09692,1.28832,1.24915,1.29795,1.30216
104+09692,1.08228,1.10559,1.10625,1.10559
104-09693,1.25,1.2,1.5,1.25
104+09693,1.23938,1.25,1.30496,1.29167
104-09694,1.36364,1.30769,1.30769,1.36364
104+09694,1,1,1,1
104-09695,1.23729,1.25373,1.3125,1.31034
104+09695,1.5,1.45455,1.72727,1.7
104-09696,1.24498,1.27636,1.3035,1.26556
104+09696,1.2,1.23333,1.27119,1.18868
104+09697,1.28287,1.3,1.29572,1.26923
104-09704,1.24842,1.25333,1.30219,1.3449
104-09705,1.10314,1.09333,1.08145,1.07763
104+09705,1.27293,1.31102,1.35223,1.37634
104-09706,1.23853,1.23853,1.15385,1.14141
104+09706,1.10407,1.09955,1.09132,1.07834
104-09707,1.29167,1.32323,1.19149,1.18391
104+09707,1.30909,1.47368,1.27358,1.18812
104-09708,1.20921,1.20732,1.22222,1.16444
104+09708,1.2268,1.24,1.1875,1.18391
104-09709,1.11029,1.0963,1.09924,1.07634
104+09709,1.19313,1.19068,1.20705,1.16279
104-09710,1.12195,1.10429,1.12195,1.12102
104+09710,1.14894,1.10791,1.1295,1.11278
104-09711,1.30769,1.3494,1.33929,1.4
104+09711,1.32955,1.42857,1.55026,1.55495
104-09712,1.34737,1.32653,1.32967,1.3908
104+09712,1.33108,1.26923,1.3125,1.35616
104-09713,1.31068,1.32673,1.29592,1.32222
104+09713,1.31034,1.40659,1.56566,1.425
104-09714,1.40517,1.56034,1.63793,1.59375
104+09714,1.39806,1.34314,1.29592,1.31395
104-09715,1.33333,1.63768,1.72,1.76562
104+09715,1.42958,1.33088,1.3609,1.40517
104-09716,1.5,1.43382,1.57895,1.42857
104+09716,1.63768,1.63768,1.95312,1.5625
104-09717,1.28571,1.36364,1.36364,1.41429
104+09717,1.46774,1.46617,1.47727,1.47581
104-09718,1.3617,1.3961,1.50704,1.43651
104+09718,1.43662,1.51351,1.44118,1.46032
104-09719,1.32,1.30216,1.35821,1.352
104+09719,1.34646,1.35971,1.39844,1.40708
104-09720,1.33051,1.39259,1.46875,1.46281
104+09720,1.42384,1.38554,1.44805,1.42222
104-09721,1.40476,1.42056,1.46798,1.52151
104+09721,1.34211,1.33813,1.3985,1.46457
104-09722,1.25,1.26923,1.28866,1.34091
104+09722,1.33333,1.39706,1.41,1.5
104-09723,1.34868,1.41411,1.40909,1.37102
104+09723,1.22368,1.23529,1.36364,1.35526
104-09724,2.085,1.81218,2.28649,1.9878
104+09724,1.23221,1.28475,1.44375,1.3346
104-09725,1.11224,1.10101,1.12,1.11224
104+09725,1.41497,1.49045,1.57485,1.38667
104-09726,1.17778,1.17204,1.15957,1.12222
104+09726,1.12,1.09804,1.14706,1.145
104-09727,1.44,1.42437,1.45455,1.50222
104+09727,1.15556,1.17391,1.12222,1.09091
104-09728,1.17204,1.1875,1.1875,1.16854
104+09728,1.3012,1.31707,1.39655,1.44
104-09729,1.24788,1.27869,1.32577,1.37552
104+09729,1.15054,1.23958,1.19,1.19355
104-09730,1.13568,1.12919,1.14354,1.13568
104+09730,1.31092,1.36935,1.45296,1.49703
104-09731,1.25797,1.24339,1.27642,1.25862
104+09731,1.11823,1.13397,1.15459,1.15306
104-09732,1.32075,1.37705,1.43103,1.37255
104+09732,1.24484,1.31759,1.39295,1.33923
104-09733,1.21429,1.20225,1.21839,1.15854
104+09733,1.36735,1.32075,1.32075,1.30612
104-09734,1.17,1.19,1.17347,1.16667
104+09734,1.26437,1.25581,1.20732,1.19481
104-09735,1.18284,1.23282,1.22727,1.20522
104+09735,1.19417,1.23301,1.19,1.17347
104-09736,1.17197,1.17834,1.18471,1.21656
104+09736,1.19847,1.19847,1.23282,1.28358
104-09737,1.13265,1.09487,1.11257,1.13506
104+09737,1.13548,1.1625,1.15,1.16981
104-09738,1.26586,1.24706,1.27647,1.33129
104+09738,1.09686,1.1039,1.11749,1.12434
104-09739,1.33028,1.37705,1.43802,1.40351
104+09739,1.22659,1.35475,1.43454,1.47941
104-09740,1.23404,1.26,1.30612,1.29787
104+09740,1.35398,1.38931,1.46512,1.54472
104-09741,1.11111,1.08696,1.11111,1.11111
104+09741,1.18,1.2,1.22,1.25
104-09742,1.07692,1.07692,1.07692,1.07692
104+09742,1.09677,1.09677,1.1129,1.09836
104-09743,1.15278,1.16447,1.23288,1.15789
104+09743,1.11111,1.10526,1.16667,1.11111
104-09744,1.09091,1.09091,1.125,1.12903
104+09744,1.13869,1.15753,1.19014,1.15504
104-09745,1.11765,1.07843,1.14,1.14
104+09745,1.11111,1.11111,1.11111,1.17647
104-09746,1.48276,1.43333,1.48276,1.40625
104+09746,1.1,1.1,1.14286,1.12
104-09747,1.25714,1.21721,1.30894,1.26068
104+09747,1.5283,1.57407,1.70588,1.44231
104+09748,1.18552,1.16444,1.22034,1.18894
104-09749,1.11,1.10204,1.13725,1.11111
104-09750,1.10303,1.08025,1.08176,1.08176
104+09750,1.08,1.07843,1.05882,1.08911
104-09751,1.05479,1.05479,1.05479,1.08451
104+09751,1.06918,1.06329,1.06329,1.07006
104-09752,1.13223,1.14876,1.14876,1.11765
104+09752,1.05714,1.07042,1.07143,1.05714
104-09753,1.37324,1.34965,1.3245,1.41304
104+09753,1.25,1.14876,1.18548,1.16807
104-09754,1.35678,1.53556,1.64552,1.54028
104+09754,1.85,1.47531,1.6875,1.7037
104-09755,1.11976,1.12353,1.17318,1.11875
104+09755,1.25888,1.28643,1.28431,1.28723
104-09756,1.22368,1.23529,1.375,1.36842
104+09756,1.24752,1.35349,1.46154,1.3617
104-09757,1.31452,1.35821,1.41912,1.4
104+09757,1.23377,1.25714,1.28866,1.34091
104-09758,1.19048,1.15385,1.11111,1.11667
104+09758,1.34932,1.43333,1.69006,1.43382
104-09759,1.27941,1.26087,1.28571,1.33696
104+09759,1.17143,1.15942,1.19403,1.19048
104-09760,1.47525,1.26733,1.42453,1.2967
104+09760,1.35185,1.27778,1.33333,1.31217
104-09761,1.552,1.38983,1.38393,1.4902
104+09761,1.29167,1.24468,1.28571,1.37037
104-09762,1.55556,1.47368,1.50746,1.49333
104+09762,1.528,1.416,1.416,1.45536
104+09763,1.51351,1.54688,1.76786,1.65
104-09764,1.25472,1.34185,1.42345,1.80313
104+09765,1.62179,1.57278,1.72586,2.34985
104-09772,,,3.19512,
104-09773,1.66784,1.76308,2.11458,2.08718
104+09773,1.41727,1.46309,1.65705,1.64437
104-09774,1.14384,1.14865,1.13699,1.16901
104+09774,1.29787,1.46512,1.68116,1.79705
104-09775,1.27326,1.27119,1.35106,1.45503
104+09775,1.15328,1.14685,1.15862,1.15827
104-09776,1.26405,1.28634,1.375,1.46977
104+09776,1.30508,1.33493,1.4329,1.56731
104-09777,1.23585,1.27642,1.26562,1.36522
104+09777,1.24194,1.23395,1.27354,1.35211
104-09778,1.21374,1.21805,1.23358,1.27559
104+09778,1.19802,1.19643,1.2193,1.21782
104-09779,1.27711,1.27011,1.30114,1.3125
104+09779,1.18699,1.2126,1.21705,1.20513
104-09780,1.53405,1.53698,1.5047,1.50676
104+09780,1.40936,1.4709,1.50811,1.44242
104-09781,1.11111,1.06667,1.06818,1.09091
104+09781,1.54861,1.721,1.74922,1.58278
104+09782,1.06122,1.06122,1.10204,1.06122
104-09797,1.21739,1.23529,1.20896,1.22727
104-09798,1.37811,1.35826,1.38548,1.43898
104+09798,1.32877,1.2987,1.35443,1.29412
104-09799,1.40193,1.36778,1.40179,1.52117
104+09799,1.39837,1.4068,1.40981,1.42722
104-09800,1.08235,1.07004,1.08268,1.07143
104+09800,1.33108,1.33016,1.43234,1.47619
104-09801,1.14118,1.15116,1.15116,1.14286
104+09801,1.07782,1.07004,1.06299,1.07905
104-09802,1.21348,1.23656,1.2268,1.25843
104+09802,1.18478,1.17204,1.24176,1.23864
104-09803,1.21875,1.22609,1.28182,1.32394
104+09803,1.23158,1.2551,1.31,1.25806
104-09804,1.1413,1.1413,1.13978,1.13333
104+09804,1.20188,1.20548,1.28111,1.24155
104-09805,1.13846,1.18657,1.11278,1.14286
104+09805,1.14583,1.14433,1.14433,1.13684
104-09806,1.11243,1.14368,1.13218,1.15663
104+09806,1.15385,1.13846,1.14286,1.13492
104-09807,1.09929,1.125,1.10811,1.14894
104+09807,1.12353,1.1092,1.16092,1.17647
104-09808,1.18182,1.23207,1.30315,1.28509
104+09808,1.125,1.10959,1.12838,1.15278
104-09809,1.20588,1.24107,1.47899,1.35294
104+09809,1.20168,1.23346,1.33942,1.24473
104-09810,1.14103,1.14103,1.13158,1.16667
104+09810,1.18478,1.2,1.28972,1.29348
104-09811,1.2,1.17241,1.2069,1.21429
104+09811,1.17949,1.13333,1.17105,1.15493
104+09812,1.22581,1.13333,1.2,1.13793
104-09820,1.50725,1.56338,1.48684,1.52941
104+09821,1.57522,1.5,1.81633,1.62921
104+09822,1.5,1.37209,1.61702,1.63415
104-09824,,,1,
104+09824,,,1,
104-09825,1.73118,1.79,2.61538,2.50476
104+09825,1.81818,2,1.61404,1.92308
104+09826,1.71591,1.62,1.9009,1.82022
104-09832,1.15464,1.12121,1.13402,1.18947
104+09832,1.17518,1.21168,1.21168,1.21053
104-09833,1.3681,1.32184,1.49412,1.41379
104+09833,1.11111,1.14141,1.13861,1.12245
104-09834,1.48387,1.5583,1.45247,1.48252
104+09834,1.41379,1.32948,1.31361,1.36207
104-09835,1.15854,1.13253,1.10976,1.14458
104+09835,1.46614,1.68519,1.41016,1.45387
104-09836,1.13423,1.11184,1.07383,1.10067
104+09836,1.08861,1.13415,1.07792,1.12658
104-09837,1.45426,1.39934,1.28421,1.32609
104+09837,1.10738,1.13158,1.06207,1.10738
104-09838,1.45483,1.37725,1.28308,1.24383
104+09838,1.49852,1.40936,1.43729,1.47735
104-09839,1.10553,1.10204,1.07292,1.09896
104+09839,1.3127,1.42089,1.26087,1.2671
104-09840,1.08,1.09091,1.07216,1.05051
104+09840,1.1134,1.12245,1.07812,1.07812
104-09841,1.595,1.50472,1.45175,1.51724
104+09841,1.08,1.09091,1.07071,1.06122
104-09842,1.24031,1.22308,1.23256,1.19531
104+09842,1.75566,1.51835,1.4875,1.54505
104-09843,1.23256,1.23134,1.29323,1.28571
104+09843,1.17829,1.21429,1.23881,1.20455
104-09844,1.0804,1.06091,1.0829,1.06771
104+09844,1.22131,1.21094,1.28689,1.2623
104-09845,1.11364,1.09195,1.10112,1.10345
104+09845,1.0796,1.06468,1.08629,1.06091
104-09846,1.075,1.0625,1.07643,1.06369
104+09846,1.08046,1.07955,1.12644,1.12644
104-09847,1.09589,1.09589,1.08392,1.11189
104+09847,1.05625,1.0559,1.075,1.06918
104-09848,1.11594,1.10219,1.12409,1.13534
104+09848,1.08904,1.08904,1.11724,1.1049
104-09849,1.07299,1.08148,1.09091,1.11111
104+09849,1.11852,1.11594,1.11111,1.13534
104-09850,1.17857,1.15179,1.1982,1.18519
104+09850,1.09286,1.07857,1.10949,1.12409
104-09851,1.19084,1.20588,1.22137,1.18254
104+09851,1.12281,1.14035,1.16667,1.14815
104-09852,1.25455,1.23214,1.30189,1.2449
104+09852,1.18657,1.21168,1.19084,1.2381
104-09853,1.3557,1.27564,1.30714,1.5
104+09853,1.23214,1.18966,1.30189,1.27451
104-09854,1.40435,1.25217,1.28436,1.31122
104+09854,1.375,1.32886,1.41429,1.488
104-09855,1.20144,1.20438,1.20455,1.22656
104+09855,1.26697,1.25541,1.33333,1.28426
104-09856,1.15313,1.13889,1.14827,1.16077
104+09856,1.17266,1.16667,1.18045,1.18605
104-09857,1.27749,1.22222,1.20513,1.23118
104+09857,1.25076,1.15502,1.17629,1.16038
104-09858,1.30263,1.22907,1.21076,1.25571
104+09858,1.25628,1.18974,1.20526,1.2043
104-09859,1.13072,1.07843,1.08667,1.10274
104+09859,1.29694,1.25957,1.22845,1.30493
104-09860,1.30469,1.44944,1.35686,1.29218
104+09860,1.13072,1.08553,1.09272,1.11644
104-09861,1.25,1.24793,1.2906,1.24528
104+09861,1.24051,1.33735,1.26613,1.26068
104-09862,1.30667,1.30667,1.30667,1.30667
104+09862,1.2459,1.24615,1.27869,1.2844
104-09863,1.35227,1.5119,1.28916,1.23077
104+09863,1.35294,1.29577,1.44444,1.33846
104+09864,3.01042,1.34524,1.24691,1.24691
104-09875,1.31667,1.41667,1.43966,1.46296
104+09876,1.28,1.27184,1.31959,1.27473
104-09878,1.32895,1.30851,1.35789,1.43333
104+09879,1.36905,1.32353,1.38384,1.43956
104-09885,1.26471,1.19608,1.18557,1.28421
104-09886,1.76471,1.55556,1.73684,1.61111
104+09886,1.46087,1.34821,1.43119,1.33
104-09887,1.30973,1.28696,1.28696,1.38318
104+09887,1.90476,2,2.15385,2
104-09888,1.1619,1.14286,1.14706,1.14583
104+09888,1.3964,1.27027,1.2963,1.31776
104-09889,1.10769,1.10156,1.10769,1.18359
104+09889,1.15385,1.13861,1.13,1.14894
104+09890,1.10156,1.19922,1.06538,1.11983
104-09894,1.37748,1.39456,1.59732,1.6478
104-09895,1.19091,1.16514,1.18519,1.29245
104+09895,1.57767,1.61538,1.60804,1.53846
104-09896,1.21311,1.20635,1.21311,1.22414
104+09896,1.13761,1.17431,1.15741,1.18447
104-09897,1.20225,1.23711,1.29032,1.25
104+09897,1.20635,1.21212,1.26984,1.20339
104+09898,1.30928,1.31818,1.39796,1.36145
104-09911,1.72311,1.99802,1.85193,1.91968
104+09912,1.56009,1.62446,1.43274,1.37885
104-09915,1.43443,1.38889,1.35659,1.37838
104-09916,1.27103,1.27679,1.37607,1.30303
104+09916,1.43182,1.44615,1.36719,1.40517
104-09917,1.46377,1.30534,1.37398,1.39024
104+09917,1.32039,1.27103,1.27103,1.35789
