tmc,lottr_am_peak,lottr_midday,lottr_pm_peak,lottr_weekend
120+14503,1.28571,1.2987,1.36364,1.33784
120-14504,1.20588,1.22222,1.27273,1.25
120+14504,1.17949,1.16949,1.1913,1.19643
120-14505,1.37696,1.39594,1.46927,1.35882
120+14505,1.34146,1.43182,1.475,1.45
120+14506,1.20482,1.23977,1.2716,1.23457
120-14507,1,1.54949,1.06826,1.73504
120+14508,1.9752,1.35955,1,2.33522
120-14523,1.17073,1.15854,1.16867,1.19753
120+14524,1.33333,1.32099,1.30864,1.33766
120-14532,1.28736,1.25843,1.25843,1.30337
120-14533,2,2.4,2.4,2.16667
120+14533,1.18333,1.16393,1.15517,1.15517
120+14534,1.4,1.4,1.4,1.4
120+15212,1.5,1.94444,2.22857,1.5
120-15220,1.66667,2,2,2
120-15221,1.4,1.5,1.5,2
120-15222,1.42331,1.35714,1.4863,1.44785
120-15223,1.38095,1.33621,1.46226,1.41593
120+15223,1.53913,1.35028,1.42763,1.43353
120-15224,1.26882,1.28571,1.31818,1.37349
120+15224,1.43836,1.39604,1.49485,1.49485
120-15225,1.26562,1.35938,1.35185,1.34483
120+15225,1.40107,1.27612,1.36818,1.33074
120-15226,1.3,1.33333,1.4,1.41667
120+15226,1.57692,1.42424,1.45614,1.5
120-15227,1.1599,1.16782,1.25904,1.2747
120+15227,1.47368,1.43478,1.5,1.54545
120-15228,1.17376,1.18085,1.35028,1.31559
120+15228,1.37417,1.18052,1.19355,1.32216
120-15229,1.25,1.33333,1.31579,1.33333
120+15229,1.61803,1.30132,1.1831,1.37872
120-15230,1.21538,1.23077,1.59829,1.29091
120+15230,1.52,1.31429,1.25,1.4
120-15231,1.16384,1.22222,1.41958,1.32335
120+15231,1.28049,1.17323,1.16807,1.24545
120-15232,1.24242,1.27184,1.28986,1.37079
120+15232,1.30702,1.1729,1.13772,1.24868
120+15235,1.73077,1.38462,1.5,1.57778
120-15237,1.20588,1.27778,1.28571,1.17143
120-15238,1.175,1.21739,1.325,1.19149
120-15240,1.35897,1.325,1.325,1.325
120-15241,1.49495,1.49495,1.60674,1.42697
120-15243,1.57143,1.80952,1.76923,2
120+15244,1.64286,1.58621,1.66667,1.76923
120-15245,1.88889,1.61538,1.52941,1.71429
120-15246,1.47619,1.28302,1.33871,1.34286
120+15246,1.59459,1.52778,1.76471,1.72973
120-15251,1.61538,1.60317,1.62319,1.46032
120+15252,1.47826,1.47368,1.41935,1.5
120-15254,1.42623,1.32927,1.35385,1.32727
