Bin,120P04340,,120N05397,,120+14882,,120-07060,,
569,248,0.0067145893,338,0.006487773,45,0.0064813481,324,0.0071450624,Fri 10:15 PM
570,228,0.0061730902,309,0.0059311298,41,0.0059052283,299,0.0065937459,Fri 10:30 PM
571,215,0.0058211158,292,0.0056048217,39,0.0056171684,274,0.0060424293,Fri 10:45 PM
572,199,0.0053879164,269,0.005163346,36,0.0051850785,254,0.0056013761,Fri 11:00 PM
573,175,0.0047381175,229,0.0043955622,31,0.0044649287,219,0.0048295329,Fri 11:15 PM
574,154,0.0041695434,189,0.0036277784,25,0.003600749,190,0.0041900057,Fri 11:30 PM
575,134,0.0036280442,160,0.0030711352,21,0.0030246291,170,0.0037489525,Fri 11:45 PM
576,180,0.0048734923,234,0.0044915352,31,0.0044649287,220,0.0048515856,Sat 12:00 AM
577,163,0.004413218,216,0.0041460325,29,0.0041768688,200,0.0044105324,Sat 12:15 AM
578,146,0.0039529437,192,0.0036853622,26,0.0037447789,180,0.0039694791,Sat 12:30 AM
579,133,0.0036009693,173,0.0033206649,23,0.003312689,163,0.0035945839,Sat 12:45 AM
580,120,0.0032489948,159,0.0030519406,21,0.0030246291,147,0.0032417413,Sat 01:00 AM
581,113,0.0030594701,145,0.0027832162,19,0.0027365692,139,0.00306532,Sat 01:15 AM
582,103,0.0027887206,131,0.0025144919,17,0.0024485093,127,0.002800688,Sat 01:30 AM
583,96,0.0025991959,117,0.0022457676,16,0.0023044793,118,0.0026022141,Sat 01:45 AM
584,90,0.0024367461,108,0.0020730162,14,0.0020164194,110,0.0024257928,Sat 02:00 AM
585,80,0.0021659966,94,0.0018042919,12,0.0017283595,98,0.0021611609,Sat 02:15 AM
586,70,0.001895247,84,0.001612346,11,0.0015843295,86,0.0018965289,Sat 02:30 AM
587,63,0.0017057223,75,0.0014395946,10,0.0014402996,78,0.0017201076,Sat 02:45 AM
588,57,0.0015432726,66,0.0012668433,9,0.0012962696,69,0.0015216337,Sat 03:00 AM
589,57,0.0015432726,66,0.0012668433,9,0.0012962696,69,0.0015216337,Sat 03:15 AM
590,53,0.0014349727,61,0.0011708703,8,0.0011522397,65,0.001433423,Sat 03:30 AM
591,53,0.0014349727,61,0.0011708703,8,0.0011522397,65,0.001433423,Sat 03:45 AM
592,53,0.0014349727,61,0.0011708703,8,0.0011522397,65,0.001433423,Sat 04:00 AM
593,60,0.0016244974,66,0.0012668433,9,0.0012962696,73,0.0016098443,Sat 04:15 AM
594,66,0.0017869472,75,0.0014395946,10,0.0014402996,82,0.0018083183,Sat 04:30 AM
595,76,0.0020576967,84,0.001612346,11,0.0015843295,94,0.0020729502,Sat 04:45 AM
596,86,0.0023284463,94,0.0018042919,12,0.0017283595,106,0.0023375821,Sat 05:00 AM
597,100,0.0027074957,108,0.0020730162,14,0.0020164194,122,0.0026904247,Sat 05:15 AM
598,120,0.0032489948,131,0.0025144919,17,0.0024485093,147,0.0032417413,Sat 05:30 AM
599,140,0.003790494,155,0.0029751622,21,0.0030246291,171,0.0037710052,Sat 05:45 AM
600,166,0.0044944429,183,0.0035126108,24,0.003456719,204,0.004498743,Sat 06:00 AM
601,180,0.0048734923,202,0.0038773082,27,0.0038888089,220,0.0048515856,Sat 06:15 AM
602,199,0.0053879164,230,0.0044147568,31,0.0044649287,245,0.0054029021,Sat 06:30 AM
603,216,0.0058481907,253,0.0048562325,34,0.0048970186,265,0.0058439554,Sat 06:45 AM
604,239,0.0064709147,286,0.0054896541,38,0.0054731384,294,0.0064834826,Sat 07:00 AM
605,253,0.0068499641,309,0.0059311298,41,0.0059052283,310,0.0068363251,Sat 07:15 AM
606,269,0.0072831634,338,0.006487773,45,0.0064813481,331,0.007299431,Sat 07:30 AM
607,289,0.0078246626,366,0.0070252217,49,0.007057468,355,0.0078286949,Sat 07:45 AM
608,309,0.0083661617,403,0.0077354217,54,0.0077776177,380,0.0083800115,Sat 08:00 AM
609,326,0.008826436,436,0.0083688433,58,0.0083537376,400,0.0088210647,Sat 08:15 AM
610,346,0.0093679351,469,0.009002265,62,0.0089298574,424,0.0093503286,Sat 08:30 AM
611,369,0.0099906591,511,0.0098084379,68,0.0097940372,453,0.0099898558,Sat 08:45 AM
612,389,0.0105321583,553,0.0106146109,74,0.0106582169,477,0.0105191197,Sat 09:00 AM
613,409,0.0110736574,586,0.0112480326,78,0.0112343367,502,0.0110704362,Sat 09:15 AM
614,429,0.0116151566,619,0.0118814542,82,0.0118104566,526,0.0115997001,Sat 09:30 AM
615,449,0.0121566557,656,0.0125916542,87,0.0125306064,551,0.0121510166,Sat 09:45 AM
616,472,0.0127793797,694,0.0133210488,92,0.0132507562,580,0.0127905438,Sat 10:00 AM
617,485,0.0131313542,717,0.0137625245,96,0.013826876,596,0.0131433864,Sat 10:15 AM
618,502,0.0135916284,746,0.0143191677,99,0.0142589659,616,0.0135844396,Sat 10:30 AM
619,519,0.0140519027,774,0.0148566164,103,0.0148350857,637,0.0140475455,Sat 10:45 AM
620,535,0.014485102,802,0.015394065,107,0.0154112055,657,0.0144885988,Sat 11:00 AM
621,548,0.0148370764,825,0.0158355407,110,0.0158432954,673,0.0148414414,Sat 11:15 AM
622,562,0.0152161258,853,0.0163729894,114,0.0164194152,690,0.0152163366,Sat 11:30 AM
623,575,0.0155681003,877,0.0168336596,117,0.0168515051,706,0.0155691792,Sat 11:45 AM
624,588,0.0159200747,900,0.0172751353,120,0.017283595,722,0.0159220218,Sat 12:00 PM
625,588,0.0159200747,900,0.0172751353,120,0.017283595,722,0.0159220218,Sat 12:15 PM
626,588,0.0159200747,900,0.0172751353,120,0.017283595,722,0.0159220218,Sat 12:30 PM
627,588,0.0159200747,900,0.0172751353,120,0.017283595,722,0.0159220218,Sat 12:45 PM
628,588,0.0159200747,900,0.0172751353,120,0.017283595,722,0.0159220218,Sat 01:00 PM
629,588,0.0159200747,900,0.0172751353,120,0.017283595,722,0.0159220218,Sat 01:15 PM
630,588,0.0159200747,900,0.0172751353,120,0.017283595,722,0.0159220218,Sat 01:30 PM
631,588,0.0159200747,900,0.0172751353,120,0.017283595,722,0.0159220218,Sat 01:45 PM
632,588,0.0159200747,900,0.0172751353,120,0.017283595,722,0.0159220218,Sat 02:00 PM
633,595,0.0161095994,896,0.0171983569,119,0.017139565,731,0.0161204957,Sat 02:15 PM
634,595,0.0161095994,896,0.0171983569,119,0.017139565,731,0.0161204957,Sat 02:30 PM
635,598,0.0161908243,896,0.0171983569,119,0.017139565,735,0.0162087064,Sat 02:45 PM
636,602,0.0162991241,896,0.0171983569,119,0.017139565,739,0.016296917,Sat 03:00 PM
637,602,0.0162991241,891,0.017102384,119,0.017139565,739,0.016296917,Sat 03:15 PM
638,602,0.0162991241,881,0.016910438,117,0.0168515051,739,0.016296917,Sat 03:30 PM
639,602,0.0162991241,877,0.0168336596,117,0.0168515051,739,0.016296917,Sat 03:45 PM
640,602,0.0162991241,872,0.0167376867,116,0.0167074752,739,0.016296917,Sat 04:00 PM
641,598,0.0161908243,858,0.0164689623,114,0.0164194152,735,0.0162087064,Sat 04:15 PM
642,592,0.0160283746,839,0.016104265,112,0.0161313553,726,0.0160102324,Sat 04:30 PM
643,585,0.0158388499,825,0.0158355407,110,0.0158432954,718,0.0158338111,Sat 04:45 PM
644,578,0.0156493252,811,0.0155668164,108,0.0155552355,710,0.0156573898,Sat 05:00 PM
645,565,0.0152973507,783,0.0150293677,104,0.0149791157,694,0.0153045473,Sat 05:15 PM
646,548,0.0148370764,755,0.0144919191,101,0.0145470258,673,0.0148414414,Sat 05:30 PM
647,535,0.014485102,731,0.0140312488,97,0.0139709059,657,0.0144885988,Sat 05:45 PM
648,519,0.0140519027,708,0.0135897731,94,0.0135388161,637,0.0140475455,Sat 06:00 PM
649,492,0.0133208789,680,0.0130523245,91,0.0131067262,604,0.0133198077,Sat 06:15 PM
650,469,0.0126981548,652,0.0125148758,87,0.0125306064,575,0.0126802805,Sat 06:30 PM
651,449,0.0121566557,624,0.0119774272,83,0.0119544865,551,0.0121510166,Sat 06:45 PM
652,429,0.0116151566,595,0.0114207839,79,0.0113783667,526,0.0115997001,Sat 07:00 PM
653,409,0.0110736574,567,0.0108833353,76,0.0109462768,502,0.0110704362,Sat 07:15 PM
654,389,0.0105321583,544,0.0104418596,72,0.010370157,477,0.0105191197,Sat 07:30 PM
655,369,0.0099906591,520,0.0099811893,69,0.0099380671,453,0.0099898558,Sat 07:45 PM
656,352,0.0095303849,497,0.0095397136,66,0.0095059772,433,0.0095488025,Sat 08:00 PM
657,342,0.0092596353,478,0.0091750163,64,0.0092179173,420,0.0092621179,Sat 08:15 PM
658,332,0.0089888857,460,0.0088295136,61,0.0087858275,408,0.008997486,Sat 08:30 PM
659,322,0.0087181362,445,0.0085415947,59,0.0084977675,396,0.0087328541,Sat 08:45 PM
660,312,0.0084473866,431,0.0082728704,57,0.0082097076,384,0.0084682221,Sat 09:00 PM
661,302,0.008176637,408,0.0078313947,54,0.0077776177,371,0.0081815375,Sat 09:15 PM
662,293,0.0079329624,384,0.0073707244,51,0.0073455279,359,0.0079169056,Sat 09:30 PM
663,283,0.0076622128,366,0.0070252217,49,0.007057468,347,0.0076522736,Sat 09:45 PM
664,273,0.0073914633,347,0.0066605244,46,0.0066253781,335,0.0073876417,Sat 10:00 PM
665,253,0.0068499641,324,0.0062190487,43,0.0061932882,310,0.0068363251,Sat 10:15 PM
666,236,0.0063896899,305,0.0058543514,41,0.0059052283,290,0.0063952719,Sat 10:30 PM
667,223,0.0060377154,281,0.0053936811,37,0.0053291085,273,0.0060203767,Sat 10:45 PM
668,209,0.005658666,267,0.0051249568,36,0.0051850785,257,0.0056675341,Sat 11:00 PM
669,199,0.0053879164,258,0.0049522055,34,0.0048970186,245,0.0054029021,Sat 11:15 PM
670,193,0.0052254667,249,0.0047794541,33,0.0047529886,237,0.0052264808,Sat 11:30 PM
671,186,0.005035942,244,0.0046834811,32,0.0046089587,229,0.0050500595,Sat 11:45 PM
