Bin,120P04340,,120N05397,,120+14882,,120-07060,,
90,210,0.005685741,271,0.0052017352,36,0.0051850785,258,0.0056895867,Sun 10:30 PM
91,198,0.0053608415,250,0.0047986487,33,0.0047529886,243,0.0053587968,Sun 10:45 PM
92,186,0.005035942,238,0.0045683136,32,0.0046089587,229,0.0050500595,Sun 11:00 PM
93,177,0.0047922674,229,0.0043955622,31,0.0044649287,218,0.0048074803,Sun 11:15 PM
94,171,0.0046298177,221,0.0042420055,29,0.0041768688,210,0.004631059,Sun 11:30 PM
95,165,0.0044673679,217,0.0041652271,29,0.0041768688,203,0.0044766903,Sun 11:45 PM
96,112,0.0030323952,131,0.0025144919,17,0.0024485093,138,0.0030432673,Mon 12:00 AM
97,97,0.0026262708,115,0.0022073784,15,0.0021604494,124,0.0027345301,Mon 12:15 AM
98,85,0.0023013713,98,0.0018810703,13,0.0018723895,114,0.0025140034,Mon 12:30 AM
99,74,0.0020035468,88,0.0016891243,12,0.0017283595,100,0.0022052662,Mon 12:45 AM
100,66,0.0017869472,77,0.0014779838,10,0.0014402996,90,0.0019847396,Mon 01:00 AM
101,58,0.0015703475,71,0.0013628162,9,0.0012962696,86,0.0018965289,Mon 01:15 AM
102,54,0.0014620477,60,0.0011516757,8,0.0011522397,86,0.0018965289,Mon 01:30 AM
103,50,0.0013537479,55,0.0010557027,7,0.0010082097,81,0.0017862656,Mon 01:45 AM
104,50,0.0013537479,49,0.0009405351,7,0.0010082097,76,0.0016760023,Mon 02:00 AM
105,47,0.001272523,44,0.0008445622,6,0.0008641797,71,0.001565739,Mon 02:15 AM
106,47,0.001272523,44,0.0008445622,6,0.0008641797,67,0.0014775283,Mon 02:30 AM
107,43,0.0011642232,38,0.0007293946,5,0.0007201498,62,0.001367265,Mon 02:45 AM
108,43,0.0011642232,38,0.0007293946,5,0.0007201498,57,0.0012570017,Mon 03:00 AM
109,47,0.001272523,38,0.0007293946,5,0.0007201498,62,0.001367265,Mon 03:15 AM
110,50,0.0013537479,44,0.0008445622,6,0.0008641797,67,0.0014775283,Mon 03:30 AM
111,54,0.0014620477,44,0.0008445622,6,0.0008641797,71,0.001565739,Mon 03:45 AM
112,58,0.0015703475,49,0.0009405351,7,0.0010082097,76,0.0016760023,Mon 04:00 AM
113,70,0.001895247,60,0.0011516757,8,0.0011522397,95,0.0020950029,Mon 04:15 AM
114,85,0.0023013713,77,0.0014779838,10,0.0014402996,129,0.0028447934,Mon 04:30 AM
115,105,0.0028428705,93,0.0017850973,12,0.0017283595,167,0.0036827945,Mon 04:45 AM
116,132,0.0035738943,115,0.0022073784,15,0.0021604494,219,0.0048295329,Mon 05:00 AM
117,167,0.0045215178,148,0.0028408,20,0.0028805992,281,0.006196798,Mon 05:15 AM
118,213,0.0057669658,191,0.0036661676,26,0.0037447789,367,0.0080933269,Mon 05:30 AM
119,268,0.0072560885,252,0.0048370379,34,0.0048970186,500,0.0110263309,Mon 05:45 AM
120,341,0.0092325603,328,0.0062958271,44,0.0063373182,628,0.0138490716,Mon 06:00 AM
121,384,0.0103967835,383,0.0073515298,51,0.0073455279,671,0.014797336,Mon 06:15 AM
122,438,0.0118588312,449,0.0086183731,60,0.0086417975,714,0.0157456005,Mon 06:30 AM
123,496,0.0134291787,531,0.0101923298,71,0.010226127,762,0.0168041283,Mon 06:45 AM
124,562,0.0152161258,618,0.0118622596,82,0.0118104566,814,0.0179508667,Mon 07:00 AM
125,547,0.0148100015,624,0.0119774272,83,0.0119544865,800,0.0176421294,Mon 07:15 AM
126,531,0.0143768022,624,0.0119774272,83,0.0119544865,786,0.0173333921,Mon 07:30 AM
127,512,0.013862378,629,0.0120734001,84,0.0120985165,776,0.0171128655,Mon 07:45 AM
128,500,0.0135374785,635,0.0121885677,85,0.0122425464,762,0.0168041283,Mon 08:00 AM
129,481,0.0130230543,629,0.0120734001,84,0.0120985165,733,0.0161646011,Mon 08:15 AM
130,465,0.012589855,624,0.0119774272,83,0.0119544865,714,0.0157456005,Mon 08:30 AM
131,450,0.0121837307,624,0.0119774272,83,0.0119544865,695,0.0153265999,Mon 08:45 AM
132,434,0.0117505313,624,0.0119774272,83,0.0119544865,671,0.014797336,Mon 09:00 AM
133,438,0.0118588312,640,0.0122845407,85,0.0122425464,667,0.0147091254,Mon 09:15 AM
134,442,0.011967131,667,0.0128027947,89,0.0128186663,657,0.0144885988,Mon 09:30 AM
135,446,0.0120754308,673,0.0129179623,90,0.0129626962,657,0.0144885988,Mon 09:45 AM
136,454,0.0122920305,695,0.0133402434,93,0.0133947861,657,0.0144885988,Mon 10:00 AM
137,462,0.0125086301,722,0.0138584974,96,0.013826876,657,0.0144885988,Mon 10:15 AM
138,473,0.0128064547,755,0.0144919191,101,0.0145470258,657,0.0144885988,Mon 10:30 AM
139,485,0.0131313542,788,0.0151253407,105,0.0151231456,667,0.0147091254,Mon 10:45 AM
140,496,0.0134291787,821,0.0157587623,109,0.0156992654,671,0.014797336,Mon 11:00 AM
141,504,0.0136457783,842,0.0161618488,112,0.0161313553,671,0.014797336,Mon 11:15 AM
142,512,0.013862378,864,0.0165841299,115,0.0165634452,671,0.014797336,Mon 11:30 AM
143,520,0.0140789776,886,0.017006411,118,0.0169955351,676,0.0149075993,Mon 11:45 AM
144,527,0.0142685023,914,0.0175438596,122,0.0175716549,676,0.0149075993,Mon 12:00 PM
145,527,0.0142685023,903,0.0173327191,120,0.017283595,681,0.0150178627,Mon 12:15 PM
146,531,0.0143768022,892,0.0171215786,119,0.017139565,686,0.015128126,Mon 12:30 PM
147,535,0.014485102,881,0.016910438,117,0.0168515051,690,0.0152163366,Mon 12:45 PM
148,539,0.0145934018,875,0.0167952705,117,0.0168515051,695,0.0153265999,Mon 01:00 PM
149,558,0.015107826,897,0.0172175515,120,0.017283595,705,0.0155471265,Mon 01:15 PM
150,574,0.0155410253,908,0.0174286921,121,0.0174276249,709,0.0156353372,Mon 01:30 PM
151,589,0.0159471497,919,0.0176398326,122,0.0175716549,719,0.0158558638,Mon 01:45 PM
152,609,0.0164886488,935,0.0179469461,125,0.0180037448,724,0.0159661271,Mon 02:00 PM
153,648,0.0175445721,979,0.0187915083,130,0.0187238946,738,0.0162748644,Mon 02:15 PM
154,690,0.0186817203,1023,0.0196360705,136,0.0195880743,752,0.0165836016,Mon 02:30 PM
155,737,0.0199542433,1061,0.0203654651,141,0.0203082241,767,0.0169143916,Mon 02:45 PM
156,787,0.0213079912,1110,0.0213060002,148,0.0213164338,781,0.0172231288,Mon 03:00 PM
157,822,0.0222556147,1138,0.0218434489,152,0.0218925537,790,0.0174216028,Mon 03:15 PM
158,861,0.023311538,1203,0.0230910975,160,0.0230447933,795,0.0175318661,Mon 03:30 PM
159,900,0.0243674613,1242,0.0238396867,165,0.0237649431,805,0.0177523927,Mon 03:45 PM
160,942,0.0255046095,1291,0.0247802219,172,0.0247731528,814,0.0179508667,Mon 04:00 PM
161,942,0.0255046095,1302,0.0249913624,174,0.0250612127,805,0.0177523927,Mon 04:15 PM
162,942,0.0255046095,1302,0.0249913624,174,0.0250612127,795,0.0175318661,Mon 04:30 PM
163,946,0.0256129093,1302,0.0249913624,174,0.0250612127,790,0.0174216028,Mon 04:45 PM
164,950,0.0257212092,1307,0.0250873354,174,0.0250612127,781,0.0172231288,Mon 05:00 PM
165,857,0.0232032382,1176,0.0225728435,157,0.0226127034,752,0.0165836016,Mon 05:15 PM
166,772,0.0209018668,1078,0.0206917732,144,0.020740314,728,0.0160543378,Mon 05:30 PM
167,698,0.01889832,979,0.0187915083,130,0.0187238946,700,0.0154368632,Mon 05:45 PM
168,632,0.0171113728,881,0.016910438,117,0.0168515051,676,0.0149075993,Mon 06:00 PM
169,574,0.0155410253,815,0.0156435948,109,0.0156992654,643,0.0141798615,Mon 06:15 PM
170,524,0.0141872775,760,0.014587892,101,0.0145470258,609,0.013430071,Mon 06:30 PM
171,477,0.0129147545,706,0.0135513839,94,0.0135388161,581,0.0128125965,Mon 06:45 PM
172,434,0.0117505313,662,0.0127068218,88,0.0126746363,552,0.0121730693,Mon 07:00 PM
173,407,0.0110195075,629,0.0120734001,84,0.0120985165,519,0.0114453315,Mon 07:15 PM
174,388,0.0105050833,596,0.0114399785,79,0.0113783667,490,0.0108058043,Mon 07:30 PM
175,365,0.0098823593,569,0.0109217244,76,0.0109462768,462,0.0101883297,Mon 07:45 PM
176,345,0.0093408602,542,0.0104034704,72,0.010370157,433,0.0095488025,Mon 08:00 PM
177,337,0.0091242605,520,0.0099811893,69,0.0099380671,429,0.0094605919,Mon 08:15 PM
178,330,0.0089347358,503,0.0096548812,67,0.0096500072,419,0.0092400653,Mon 08:30 PM
179,322,0.0087181362,487,0.0093477677,65,0.0093619473,409,0.0090195387,Mon 08:45 PM
180,318,0.0086098363,470,0.0090214596,63,0.0090738874,400,0.0088210647,Mon 09:00 PM
181,299,0.0080954121,432,0.008292065,58,0.0083537376,381,0.0084020641,Mon 09:15 PM
182,283,0.0076622128,399,0.0076586433,53,0.0076335878,367,0.0080933269,Mon 09:30 PM
183,268,0.0072560885,372,0.0071403893,50,0.0072014979,352,0.0077625369,Mon 09:45 PM
184,252,0.0068228892,345,0.0066221352,46,0.0066253781,338,0.0074537997,Mon 10:00 PM
185,237,0.0064167648,323,0.0061998541,43,0.0061932882,309,0.0068142725,Mon 10:15 PM
186,217,0.0058752657,295,0.0056624055,39,0.0056171684,286,0.0063070613,Mon 10:30 PM
187,206,0.0055774411,279,0.0053552919,37,0.0053291085,262,0.0057777974,Mon 10:45 PM
