bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
128,544.077,0.015,767.115,0.015,101.498,0.015,662.901,0.015,Mon 08:00 AM
129,526.463,0.014,745.732,0.014,98.426,0.014,642.837,0.014,Mon 08:15 AM
130,509.306,0.014,725.328,0.014,95.388,0.014,622.996,0.014,Mon 08:30 AM
131,495.333,0.013,710.148,0.014,93.168,0.013,608.498,0.013,Mon 08:45 AM
132,487.042,0.013,704.218,0.014,92.503,0.013,604.156,0.013,Mon 09:00 AM
133,484.544,0.013,708.244,0.014,93.497,0.013,610.645,0.013,Mon 09:15 AM
134,486.127,0.013,718.916,0.014,95.568,0.014,624.172,0.014,Mon 09:30 AM
135,490.125,0.013,732.417,0.014,98.088,0.014,640.627,0.014,Mon 09:45 AM
136,495.322,0.013,745.743,0.014,100.557,0.014,656.759,0.014,Mon 10:00 AM
137,503.132,0.014,760.890,0.015,103.331,0.015,674.871,0.015,Mon 10:15 AM
138,512.800,0.014,777.607,0.015,106.342,0.015,694.540,0.015,Mon 10:30 AM
139,522.236,0.014,793.690,0.015,109.182,0.016,713.085,0.016,Mon 10:45 AM
140,529.542,0.014,807.207,0.015,111.505,0.016,728.260,0.016,Mon 11:00 AM
141,534.789,0.014,818.552,0.016,113.433,0.016,740.853,0.016,Mon 11:15 AM
142,539.113,0.015,828.519,0.016,115.055,0.017,751.447,0.017,Mon 11:30 AM
143,543.476,0.015,837.458,0.016,116.327,0.017,759.756,0.017,Mon 11:45 AM
144,548.514,0.015,845.422,0.016,117.149,0.017,765.122,0.017,Mon 12:00 PM
145,553.016,0.015,851.221,0.016,117.239,0.017,765.712,0.017,Mon 12:15 PM
146,557.891,0.015,856.106,0.016,116.967,0.017,763.932,0.017,Mon 12:30 PM
147,565.155,0.015,862.380,0.017,116.943,0.017,763.774,0.017,Mon 12:45 PM
148,576.805,0.016,872.178,0.017,117.710,0.017,768.783,0.017,Mon 01:00 PM
149,593.516,0.016,885.613,0.017,119.176,0.017,778.358,0.017,Mon 01:15 PM
150,613.294,0.017,901.208,0.017,121.096,0.017,790.900,0.017,Mon 01:30 PM
151,633.623,0.017,917.488,0.018,123.334,0.018,805.517,0.018,Mon 01:45 PM
152,652.560,0.018,933.478,0.018,125.815,0.018,821.720,0.018,Mon 02:00 PM
153,671.629,0.018,950.868,0.018,128.759,0.019,840.946,0.019,Mon 02:15 PM
154,690.418,0.019,968.444,0.019,131.975,0.019,861.953,0.019,Mon 02:30 PM
155,707.055,0.019,983.465,0.019,135.071,0.019,882.174,0.019,Mon 02:45 PM
156,720.074,0.019,993.716,0.019,137.794,0.020,899.958,0.020,Mon 03:00 PM
157,730.696,0.020,1000.549,0.019,140.631,0.020,918.489,0.020,Mon 03:15 PM
158,738.523,0.020,1003.908,0.019,143.215,0.021,935.363,0.021,Mon 03:30 PM
159,742.036,0.020,1002.414,0.019,144.735,0.021,945.291,0.021,Mon 03:45 PM
160,739.938,0.020,994.925,0.019,144.470,0.021,943.562,0.021,Mon 04:00 PM
161,732.678,0.020,981.961,0.019,142.515,0.021,930.792,0.021,Mon 04:15 PM
162,720.590,0.020,963.674,0.018,139.226,0.020,909.309,0.020,Mon 04:30 PM
163,703.534,0.019,939.741,0.018,134.832,0.019,880.613,0.019,Mon 04:45 PM
164,681.033,0.018,909.239,0.017,129.412,0.019,845.212,0.019,Mon 05:00 PM
165,651.459,0.018,869.492,0.017,122.364,0.018,799.180,0.018,Mon 05:15 PM
166,616.877,0.017,823.979,0.016,114.288,0.016,746.434,0.016,Mon 05:30 PM
167,580.757,0.016,778.537,0.015,106.326,0.015,694.435,0.015,Mon 05:45 PM
168,545.729,0.015,738.205,0.014,99.459,0.014,649.583,0.014,Mon 06:00 PM
169,509.256,0.014,701.515,0.013,93.388,0.013,609.936,0.013,Mon 06:15 PM
170,472.410,0.013,666.850,0.013,87.813,0.013,573.521,0.013,Mon 06:30 PM
171,438.674,0.012,634.176,0.012,82.750,0.012,540.454,0.012,Mon 06:45 PM
172,411.213,0.011,603.532,0.012,78.249,0.011,511.057,0.011,Mon 07:00 PM
173,389.934,0.011,575.321,0.011,74.467,0.011,486.356,0.011,Mon 07:15 PM
174,372.920,0.010,549.080,0.011,71.204,0.010,465.044,0.010,Mon 07:30 PM
175,358.513,0.010,523.977,0.010,68.116,0.010,444.880,0.010,Mon 07:45 PM
176,345.545,0.009,499.443,0.010,64.931,0.009,424.077,0.009,Mon 08:00 PM
177,335.702,0.009,476.457,0.009,61.815,0.009,403.723,0.009,Mon 08:15 PM
178,327.895,0.009,454.319,0.009,58.760,0.008,383.773,0.008,Mon 08:30 PM
179,319.487,0.009,431.458,0.008,55.601,0.008,363.142,0.008,Mon 08:45 PM
180,308.222,0.008,406.437,0.008,52.175,0.008,340.764,0.008,Mon 09:00 PM
181,294.784,0.008,379.162,0.007,48.445,0.007,316.405,0.007,Mon 09:15 PM
182,279.865,0.008,350.651,0.007,44.554,0.006,290.989,0.006,Mon 09:30 PM
183,263.387,0.007,321.872,0.006,40.670,0.006,265.625,0.006,Mon 09:45 PM
184,245.140,0.007,293.590,0.006,36.926,0.005,241.171,0.005,Mon 10:00 PM
185,224.427,0.006,265.172,0.005,33.233,0.005,217.050,0.005,Mon 10:15 PM
186,202.132,0.005,236.809,0.005,29.603,0.004,193.343,0.004,Mon 10:30 PM
187,179.766,0.005,209.315,0.004,26.136,0.004,170.698,0.004,Mon 10:45 PM
188,158.251,0.004,182.998,0.004,22.876,0.003,149.411,0.003,Mon 11:00 PM
189,135.602,0.004,155.980,0.003,19.624,0.003,128.170,0.003,Mon 11:15 PM
190,113.369,0.003,130.083,0.002,16.566,0.002,108.196,0.002,Mon 11:30 PM
191,94.964,0.003,108.842,0.002,14.077,0.002,91.941,0.002,Mon 11:45 PM
192,84.609,0.002,96.693,0.002,12.598,0.002,82.281,0.002,Tue 12:00 AM
193,78.330,0.002,88.750,0.002,11.456,0.002,74.820,0.002,Tue 12:15 AM
194,70.291,0.002,78.646,0.002,10.006,0.001,65.349,0.001,Tue 12:30 AM
195,62.364,0.002,69.041,0.001,8.647,0.001,56.474,0.001,Tue 12:45 AM
196,56.132,0.002,62.197,0.001,7.728,0.001,50.475,0.001,Tue 01:00 AM
197,50.951,0.001,57.454,0.001,7.177,0.001,46.875,0.001,Tue 01:15 AM
198,46.510,0.001,54.090,0.001,6.850,0.001,44.737,0.001,Tue 01:30 AM
199,43.160,0.001,52.105,0.001,6.684,0.001,43.652,0.001,Tue 01:45 AM
200,41.089,0.001,51.322,0.001,6.609,0.001,43.166,0.001,Tue 02:00 AM
201,39.665,0.001,50.934,0.001,6.575,0.001,42.942,0.001,Tue 02:15 AM
202,39.448,0.001,51.935,0.001,6.682,0.001,43.642,0.001,Tue 02:30 AM
203,41.558,0.001,55.988,0.001,7.071,0.001,46.180,0.001,Tue 02:45 AM
204,46.704,0.001,64.024,0.001,7.806,0.001,50.980,0.001,Tue 03:00 AM
