bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
614,462.107,0.013,684.286,0.013,91.194,0.013,595.602,0.013,Sat 09:30 AM
615,480.988,0.013,716.949,0.014,95.546,0.014,624.031,0.014,Sat 09:45 AM
616,498.456,0.013,747.037,0.014,99.556,0.014,650.219,0.014,Sat 10:00 AM
617,514.974,0.014,775.029,0.015,103.287,0.015,674.584,0.015,Sat 10:15 AM
618,530.441,0.014,800.954,0.015,106.742,0.015,697.148,0.015,Sat 10:30 AM
619,544.302,0.015,824.384,0.016,109.864,0.016,717.542,0.016,Sat 10:45 AM
620,556.103,0.015,845.019,0.016,112.614,0.016,735.503,0.016,Sat 11:00 AM
621,566.005,0.015,863.343,0.017,115.056,0.017,751.452,0.017,Sat 11:15 AM
622,574.129,0.016,879.027,0.017,117.146,0.017,765.104,0.017,Sat 11:30 AM
623,580.402,0.016,891.293,0.017,118.781,0.017,775.780,0.017,Sat 11:45 AM
624,584.604,0.016,899.194,0.017,119.834,0.017,782.657,0.017,Sat 12:00 PM
625,585.937,0.016,901.716,0.017,120.170,0.017,784.852,0.017,Sat 12:15 PM
626,585.408,0.016,900.554,0.017,120.015,0.017,783.840,0.017,Sat 12:30 PM
627,584.710,0.016,898.312,0.017,119.716,0.017,781.889,0.017,Sat 12:45 PM
628,585.365,0.016,897.192,0.017,119.567,0.017,780.914,0.017,Sat 01:00 PM
629,587.127,0.016,896.601,0.017,119.488,0.017,780.400,0.017,Sat 01:15 PM
630,589.294,0.016,895.780,0.017,119.379,0.017,779.685,0.017,Sat 01:30 PM
631,591.445,0.016,894.641,0.017,119.227,0.017,778.694,0.017,Sat 01:45 PM
632,593.260,0.016,893.234,0.017,119.040,0.017,777.469,0.017,Sat 02:00 PM
633,595.081,0.016,892.100,0.017,118.888,0.017,776.482,0.017,Sat 02:15 PM
634,596.737,0.016,890.627,0.017,118.692,0.017,775.200,0.017,Sat 02:30 PM
635,597.747,0.016,887.692,0.017,118.301,0.017,772.646,0.017,Sat 02:45 PM
636,597.751,0.016,882.361,0.017,117.591,0.017,768.005,0.017,Sat 03:00 PM
637,597.169,0.016,875.089,0.017,116.621,0.017,761.675,0.017,Sat 03:15 PM
638,595.776,0.016,865.978,0.017,115.407,0.017,753.746,0.017,Sat 03:30 PM
639,592.960,0.016,854.683,0.016,113.902,0.016,743.914,0.016,Sat 03:45 PM
640,588.280,0.016,840.884,0.016,112.063,0.016,731.903,0.016,Sat 04:00 PM
641,582.200,0.016,824.534,0.016,109.884,0.016,717.673,0.016,Sat 04:15 PM
642,574.502,0.016,805.891,0.015,107.400,0.015,701.446,0.015,Sat 04:30 PM
643,564.506,0.015,785.213,0.015,104.644,0.015,683.448,0.015,Sat 04:45 PM
644,551.512,0.015,762.557,0.015,101.624,0.015,663.728,0.015,Sat 05:00 PM
645,535.045,0.014,737.167,0.014,98.241,0.014,641.629,0.014,Sat 05:15 PM
646,516.067,0.014,709.831,0.014,94.598,0.014,617.836,0.014,Sat 05:30 PM
647,495.913,0.013,681.998,0.013,90.889,0.013,593.610,0.013,Sat 05:45 PM
648,475.536,0.013,654.827,0.013,87.267,0.013,569.960,0.013,Sat 06:00 PM
649,453.694,0.012,627.458,0.012,83.620,0.012,546.138,0.012,Sat 06:15 PM
650,431.126,0.012,600.085,0.012,79.972,0.012,522.312,0.012,Sat 06:30 PM
651,409.713,0.011,573.747,0.011,76.462,0.011,499.389,0.011,Sat 06:45 PM
652,391.134,0.011,549.394,0.011,73.217,0.011,478.191,0.011,Sat 07:00 PM
653,375.205,0.010,527.052,0.010,70.239,0.010,458.745,0.010,Sat 07:15 PM
654,361.061,0.010,506.083,0.010,67.445,0.010,440.494,0.010,Sat 07:30 PM
655,348.087,0.009,485.902,0.009,64.755,0.009,422.929,0.009,Sat 07:45 PM
656,335.894,0.009,466.050,0.009,62.110,0.009,405.649,0.009,Sat 08:00 PM
657,325.174,0.009,447.065,0.009,59.579,0.009,389.124,0.009,Sat 08:15 PM
658,315.428,0.009,428.652,0.008,57.126,0.008,373.098,0.008,Sat 08:30 PM
659,305.499,0.008,410.042,0.008,54.646,0.008,356.900,0.008,Sat 08:45 PM
660,294.343,0.008,390.424,0.007,52.031,0.007,339.824,0.007,Sat 09:00 PM
661,282.027,0.008,369.385,0.007,49.227,0.007,321.512,0.007,Sat 09:15 PM
662,269.146,0.007,347.892,0.007,46.363,0.007,302.804,0.007,Sat 09:30 PM
663,256.185,0.007,327.228,0.006,43.609,0.006,284.819,0.006,Sat 09:45 PM
664,243.524,0.007,308.538,0.006,41.118,0.006,268.551,0.006,Sat 10:00 PM
665,230.902,0.006,291.673,0.006,38.871,0.006,253.871,0.006,Sat 10:15 PM
666,218.357,0.006,276.073,0.005,36.792,0.005,240.293,0.005,Sat 10:30 PM
667,206.201,0.006,261.388,0.005,34.835,0.005,227.511,0.005,Sat 10:45 PM
668,194.523,0.005,247.138,0.005,32.936,0.005,215.109,0.005,Sat 11:00 PM
669,182.497,0.005,232.608,0.004,30.999,0.004,202.461,0.004,Sat 11:15 PM
670,170.955,0.005,218.883,0.004,29.170,0.004,190.516,0.004,Sat 11:30 PM
671,161.488,0.004,207.682,0.004,27.677,0.004,180.766,0.004,Sat 11:45 PM
