bin,vol_diff
279,4.6129999999999995
280,6.860000000000014
281,12.573000000000008
282,14.867999999999995
283,26.23400000000001
284,31.748999999999995
285,31.397999999999996
286,33.631
287,33.036
288,27.391000000000005
289,18.67
290,14.709000000000003
291,11.636000000000003
292,9.868000000000002
293,7.0489999999999995
294,7.490000000000002
295,6.840000000000003
296,8.911000000000001
297,7.335000000000001
298,7.552
299,1.4420000000000002
300,-3.7040000000000006
301,-6.5489999999999995
302,-13.093000000000004
303,-23.551000000000002
304,-40.625
305,-54.751000000000005
306,-71.53999999999999
307,-91.078
308,-114.57900000000001
309,-146.926
310,-176.716
311,-192.45299999999997
312,-173.712
313,-172.673
314,-151.067
315,-114.30799999999999
316,-56.04899999999998
317,-61.37300000000005
318,-56.00800000000004
319,-51.057000000000016
320,-44.077
321,-45.462999999999965
