bin,diff
246,-0.10639747000000012
247,-0.12078503000000004
248,-0.11793512000000013
249,-0.06394278999999996
250,-0.0011279700000001863
251,0.08112433000000002
252,0.18119912000000016
253,0.24716146999999994
254,0.3316538000000001
255,0.42764612999999996
256,0.5470609500000001
257,0.56676095
258,0.5994609500000001
259,0.6564909300000001
260,0.72822092
261,0.5565238199999999
262,0.41998667999999967
263,0.31743200000000016
264,0.23353728000000007
265,0.17530253000000007
266,0.13972775000000004
267,0.10377544999999999
268,0.061653130000000056
269,0.04625074999999989
270,0.04080833000000006
271,0.017535930000000047
272,-0.0015139799999999357
273,0.0035260500000000236
274,0.0056735799999999
275,0.006813620000000083
276,0.026483629999999973
277,0.01144120999999991
278,0.008521279999999971
279,0.01250884999999995
280,0.01858891999999999
281,0.03407648000000006
282,0.040226570000000045
