bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
617,572.193,0.015,861.143,0.017,114.763,0.017,749.538,0.017,Sat 10:15 AM
618,589.379,0.016,889.948,0.017,118.602,0.017,774.609,0.017,Sat 10:30 AM
619,604.780,0.016,915.982,0.018,122.071,0.018,797.269,0.018,Sat 10:45 AM
620,617.892,0.017,938.910,0.018,125.127,0.018,817.226,0.018,Sat 11:00 AM
621,628.895,0.017,959.270,0.018,127.840,0.018,834.947,0.018,Sat 11:15 AM
622,637.922,0.017,976.697,0.019,130.163,0.019,850.115,0.019,Sat 11:30 AM
623,644.891,0.017,990.326,0.019,131.979,0.019,861.978,0.019,Sat 11:45 AM
624,649.560,0.018,999.104,0.019,133.149,0.019,869.618,0.019,Sat 12:00 PM
625,651.041,0.018,1001.907,0.019,133.522,0.019,872.058,0.019,Sat 12:15 PM
626,650.453,0.018,1000.615,0.019,133.350,0.019,870.933,0.019,Sat 12:30 PM
627,649.678,0.018,998.125,0.019,133.018,0.019,868.766,0.019,Sat 12:45 PM
628,650.405,0.018,996.880,0.019,132.852,0.019,867.682,0.019,Sat 01:00 PM
629,652.363,0.018,996.223,0.019,132.765,0.019,867.111,0.019,Sat 01:15 PM
630,654.771,0.018,995.311,0.019,132.643,0.019,866.317,0.019,Sat 01:30 PM
631,657.161,0.018,994.045,0.019,132.475,0.019,865.215,0.019,Sat 01:45 PM
632,659.177,0.018,992.483,0.019,132.266,0.019,863.855,0.019,Sat 02:00 PM
633,661.201,0.018,991.222,0.019,132.098,0.019,862.758,0.019,Sat 02:15 PM
634,663.041,0.018,989.586,0.019,131.880,0.019,861.334,0.019,Sat 02:30 PM
635,664.164,0.018,986.325,0.019,131.446,0.019,858.495,0.019,Sat 02:45 PM
636,664.167,0.018,980.401,0.019,130.656,0.019,853.339,0.019,Sat 03:00 PM
637,663.521,0.018,972.321,0.019,129.579,0.019,846.306,0.019,Sat 03:15 PM
638,661.973,0.018,962.198,0.018,128.230,0.018,837.495,0.018,Sat 03:30 PM
639,658.845,0.018,949.648,0.018,126.558,0.018,826.571,0.018,Sat 03:45 PM
640,653.645,0.018,934.315,0.018,124.514,0.018,813.226,0.018,Sat 04:00 PM
641,646.889,0.018,916.149,0.018,122.093,0.018,797.414,0.018,Sat 04:15 PM
642,638.335,0.017,895.434,0.017,119.333,0.017,779.384,0.017,Sat 04:30 PM
643,627.229,0.017,872.459,0.017,116.271,0.017,759.387,0.017,Sat 04:45 PM
644,612.791,0.017,847.285,0.016,112.916,0.016,737.476,0.016,Sat 05:00 PM
645,594.494,0.016,819.074,0.016,109.156,0.016,712.921,0.016,Sat 05:15 PM
646,573.408,0.016,788.701,0.015,105.109,0.015,686.484,0.015,Sat 05:30 PM
647,551.015,0.015,757.776,0.015,100.987,0.015,659.567,0.015,Sat 05:45 PM
648,528.374,0.014,727.585,0.014,96.964,0.014,633.289,0.014,Sat 06:00 PM
649,504.104,0.014,697.175,0.013,92.911,0.013,606.820,0.013,Sat 06:15 PM
650,479.029,0.013,666.761,0.013,88.858,0.013,580.347,0.013,Sat 06:30 PM
651,455.236,0.012,637.497,0.012,84.958,0.012,554.876,0.012,Sat 06:45 PM
652,434.593,0.012,610.437,0.012,81.352,0.012,531.324,0.012,Sat 07:00 PM
653,416.894,0.011,585.613,0.011,78.043,0.011,509.716,0.011,Sat 07:15 PM
654,401.179,0.011,562.315,0.011,74.939,0.011,489.438,0.011,Sat 07:30 PM
655,386.763,0.010,539.892,0.010,71.950,0.010,469.921,0.010,Sat 07:45 PM
656,373.216,0.010,517.833,0.010,69.011,0.010,450.721,0.010,Sat 08:00 PM
657,361.304,0.010,496.739,0.010,66.199,0.010,432.361,0.010,Sat 08:15 PM
658,350.475,0.009,476.280,0.009,63.473,0.009,414.553,0.009,Sat 08:30 PM
659,339.443,0.009,455.602,0.009,60.717,0.009,396.555,0.009,Sat 08:45 PM
660,327.048,0.009,433.804,0.008,57.812,0.008,377.583,0.008,Sat 09:00 PM
661,313.363,0.008,410.428,0.008,54.697,0.008,357.236,0.008,Sat 09:15 PM
662,299.051,0.008,386.546,0.007,51.514,0.007,336.449,0.007,Sat 09:30 PM
663,284.650,0.008,363.587,0.007,48.455,0.007,316.465,0.007,Sat 09:45 PM
664,270.582,0.007,342.820,0.007,45.687,0.007,298.390,0.007,Sat 10:00 PM
665,256.558,0.007,324.081,0.006,43.190,0.006,282.079,0.006,Sat 10:15 PM
666,242.619,0.007,306.748,0.006,40.880,0.006,266.993,0.006,Sat 10:30 PM
667,229.112,0.006,290.431,0.006,38.705,0.006,252.790,0.006,Sat 10:45 PM
668,216.137,0.006,274.598,0.005,36.595,0.005,239.010,0.005,Sat 11:00 PM
669,202.774,0.005,258.453,0.005,34.444,0.005,224.957,0.005,Sat 11:15 PM
670,189.950,0.005,243.204,0.005,32.411,0.005,211.684,0.005,Sat 11:30 PM
671,179.431,0.005,230.758,0.004,30.753,0.004,200.851,0.004,Sat 11:45 PM
