bin,120P04340, ,120N05397, ,120+14882, ,120-07060, ,tstamp
195,59.394,0.002,65.753,0.001,8.235,0.001,53.785,0.001,Tue 12:45 AM
196,53.459,0.001,59.235,0.001,7.360,0.001,48.071,0.001,Tue 01:00 AM
197,48.525,0.001,54.719,0.001,6.835,0.001,44.643,0.001,Tue 01:15 AM
198,44.296,0.001,51.515,0.001,6.524,0.001,42.607,0.001,Tue 01:30 AM
199,41.104,0.001,49.623,0.001,6.365,0.001,41.573,0.001,Tue 01:45 AM
200,39.132,0.001,48.878,0.001,6.295,0.001,41.111,0.001,Tue 02:00 AM
201,37.777,0.001,48.508,0.001,6.262,0.001,40.898,0.001,Tue 02:15 AM
202,37.570,0.001,49.462,0.001,6.364,0.001,41.564,0.001,Tue 02:30 AM
203,39.579,0.001,53.322,0.001,6.734,0.001,43.981,0.001,Tue 02:45 AM
204,44.480,0.001,60.975,0.001,7.434,0.001,48.552,0.001,Tue 03:00 AM
205,50.999,0.001,69.822,0.001,8.191,0.001,53.499,0.001,Tue 03:15 AM
206,60.089,0.002,82.117,0.002,9.262,0.001,60.492,0.001,Tue 03:30 AM
207,73.858,0.002,102.451,0.002,11.151,0.002,72.830,0.002,Tue 03:45 AM
208,93.928,0.003,134.965,0.003,14.256,0.002,93.109,0.002,Tue 04:00 AM
209,118.811,0.003,179.446,0.003,18.281,0.003,119.396,0.003,Tue 04:15 AM
210,149.086,0.004,233.498,0.004,23.294,0.003,152.140,0.003,Tue 04:30 AM
211,186.741,0.005,295.140,0.006,29.644,0.004,193.609,0.004,Tue 04:45 AM
212,234.837,0.006,364.092,0.007,37.829,0.005,247.068,0.005,Tue 05:00 AM
213,298.977,0.008,447.272,0.009,48.657,0.007,317.785,0.007,Tue 05:15 AM
214,371.158,0.010,537.386,0.010,60.937,0.009,397.993,0.009,Tue 05:30 AM
215,438.527,0.012,620.925,0.012,72.786,0.010,475.376,0.010,Tue 05:45 AM
216,490.202,0.013,686.568,0.013,82.687,0.012,540.044,0.012,Tue 06:00 AM
217,530.165,0.014,738.948,0.014,91.585,0.013,598.159,0.013,Tue 06:15 AM
218,561.017,0.015,780.246,0.015,99.422,0.014,649.346,0.014,Tue 06:30 AM
219,581.246,0.016,807.910,0.016,105.213,0.015,687.164,0.015,Tue 06:45 AM
220,588.618,0.016,818.517,0.016,107.925,0.016,704.876,0.016,Tue 07:00 AM
221,579.403,0.016,807.222,0.015,106.949,0.015,698.505,0.015,Tue 07:15 AM
222,559.055,0.015,781.423,0.015,103.599,0.015,676.626,0.015,Tue 07:30 AM
223,536.245,0.015,752.707,0.014,99.681,0.014,651.037,0.014,Tue 07:45 AM
224,518.169,0.014,730.586,0.014,96.665,0.014,631.334,0.014,Tue 08:00 AM
225,501.393,0.014,710.221,0.014,93.739,0.014,612.225,0.014,Tue 08:15 AM
